Dataset,Layer,Metric,Range_Ratio,Std_Ratio
MOS1,1P,Area,0.7419312749688542,0.48535973894700424
MOS2,1P,Area,1.0,0.47167200102678464
MOS1,1P,Peak,0.7433786168970676,0.5885831781666351
MOS2,1P,Peak,1.0,0.5138046965277279
MOS1,2P,Area,1.0,0.5785735504035177
MOS2,2P,Area,0.8099036630386475,0.3214335590652524
MOS1,2P,Peak,0.9156047299804567,0.6752101518842372
MOS2,2P,Peak,0.8460134082081984,0.43578791758998425
MOS1,3P,Area,0.8778435736020459,1.0389922035578214
MOS2,3P,Area,1.0,0.735057257434302
MOS1,3P,Peak,0.9774518912774876,0.9653020614435267
MOS2,3P,Peak,0.6722380521034778,0.5723337563845974
MOS1,4P,Area,1.0,0.6613388171037513
MOS2,4P,Area,0.591948038732988,0.21970500236561863
MOS1,4P,Peak,0.9193663655065507,0.6921384888941234
MOS2,4P,Peak,0.8018712877905914,0.4027921252478809
MOS1,5P,Area,1.0,0.9676714869297841
MOS2,5P,Area,0.8239650038743913,0.600172860106425
MOS1,5P,Peak,0.9479966965010346,0.9211762364364748
MOS2,5P,Peak,0.6903912760193408,0.38723788887780314
MOS1,6P,Area,0.30222176832689707,0.5742874025184894
MOS2,6P,Area,1.0,1.2679391629873313
MOS1,6P,Peak,0.583975690281775,0.9829656086974888
MOS2,6P,Peak,1.0,0.7108399671721242
