2024-12-05 10:38:41,443 INFO: ------Begin Training Model------ 
2024-12-05 10:38:49,015 INFO: Epoch 1, Train Loss: 0.42429870397774216 
2024-12-05 10:38:49,314 INFO: Epoch 1, Test Loss: 0.40303231120109556 
2024-12-05 10:38:53,349 INFO: Epoch 2, Train Loss: 0.41804379501293615 
2024-12-05 10:38:53,642 INFO: Epoch 2, Test Loss: 0.39392984509468076 
2024-12-05 10:38:57,695 INFO: Epoch 3, Train Loss: 0.3788896906621677 
2024-12-05 10:38:57,995 INFO: Epoch 3, Test Loss: 0.31028554260730745 
2024-12-05 10:39:02,002 INFO: Epoch 4, Train Loss: 0.30590162280294086 
2024-12-05 10:39:02,296 INFO: Epoch 4, Test Loss: 0.2694063991308212 
2024-12-05 10:39:06,281 INFO: Epoch 5, Train Loss: 0.2615147460367262 
2024-12-05 10:39:06,571 INFO: Epoch 5, Test Loss: 0.22454488456249236 
2024-12-05 10:39:10,502 INFO: Epoch 6, Train Loss: 0.2041999808291799 
2024-12-05 10:39:10,790 INFO: Epoch 6, Test Loss: 0.1653955340385437 
2024-12-05 10:39:14,681 INFO: Epoch 7, Train Loss: 0.1670093194571967 
2024-12-05 10:39:14,965 INFO: Epoch 7, Test Loss: 0.14485210239887236 
2024-12-05 10:39:19,064 INFO: Epoch 8, Train Loss: 0.15157368548752106 
2024-12-05 10:39:19,358 INFO: Epoch 8, Test Loss: 0.13251593321561814 
2024-12-05 10:39:23,315 INFO: Epoch 9, Train Loss: 0.14245597073405059 
2024-12-05 10:39:23,599 INFO: Epoch 9, Test Loss: 0.1249971318244934 
2024-12-05 10:39:27,563 INFO: Epoch 10, Train Loss: 0.13466860699592179 
2024-12-05 10:39:27,851 INFO: Epoch 10, Test Loss: 0.11934955596923828 
2024-12-05 10:39:31,801 INFO: Epoch 11, Train Loss: 0.13083660126346902 
2024-12-05 10:39:32,096 INFO: Epoch 11, Test Loss: 0.11673574179410934 
2024-12-05 10:39:36,012 INFO: Epoch 12, Train Loss: 0.12596552081636547 
2024-12-05 10:39:36,299 INFO: Epoch 12, Test Loss: 0.1129106891155243 
2024-12-05 10:39:40,236 INFO: Epoch 13, Train Loss: 0.12222103313686922 
2024-12-05 10:39:40,531 INFO: Epoch 13, Test Loss: 0.10982898890972137 
2024-12-05 10:39:44,490 INFO: Epoch 14, Train Loss: 0.12157700748480472 
2024-12-05 10:39:44,783 INFO: Epoch 14, Test Loss: 0.10806615054607391 
2024-12-05 10:39:48,642 INFO: Epoch 15, Train Loss: 0.11826542964608398 
2024-12-05 10:39:48,929 INFO: Epoch 15, Test Loss: 0.10769332468509674 
2024-12-05 10:39:52,858 INFO: Epoch 16, Train Loss: 0.11642962148816315 
2024-12-05 10:39:53,147 INFO: Epoch 16, Test Loss: 0.10495987117290496 
2024-12-05 10:39:57,087 INFO: Epoch 17, Train Loss: 0.11429174205998785 
2024-12-05 10:39:57,379 INFO: Epoch 17, Test Loss: 0.10393022537231446 
2024-12-05 10:40:01,382 INFO: Epoch 18, Train Loss: 0.11149427840082916 
2024-12-05 10:40:01,675 INFO: Epoch 18, Test Loss: 0.1021709257364273 
2024-12-05 10:40:05,625 INFO: Epoch 19, Train Loss: 0.11061401511590506 
2024-12-05 10:40:05,915 INFO: Epoch 19, Test Loss: 0.103623086810112 
2024-12-05 10:40:09,945 INFO: Epoch 20, Train Loss: 0.11078312040604267 
2024-12-05 10:40:10,241 INFO: Epoch 20, Test Loss: 0.10092761725187302 
2024-12-05 10:40:14,246 INFO: Epoch 21, Train Loss: 0.10973432998067324 
2024-12-05 10:40:14,541 INFO: Epoch 21, Test Loss: 0.10077556043863296 
2024-12-05 10:40:18,498 INFO: Epoch 22, Train Loss: 0.10825445656616663 
2024-12-05 10:40:18,795 INFO: Epoch 22, Test Loss: 0.09914644092321395 
2024-12-05 10:40:22,798 INFO: Epoch 23, Train Loss: 0.10765573643531996 
2024-12-05 10:40:23,092 INFO: Epoch 23, Test Loss: 0.09971510112285614 
2024-12-05 10:40:27,096 INFO: Epoch 24, Train Loss: 0.10656862321895422 
2024-12-05 10:40:27,390 INFO: Epoch 24, Test Loss: 0.0987702688574791 
2024-12-05 10:40:31,397 INFO: Epoch 25, Train Loss: 0.10678762082279343 
2024-12-05 10:40:31,689 INFO: Epoch 25, Test Loss: 0.09830948442220688 
2024-12-05 10:40:35,697 INFO: Epoch 26, Train Loss: 0.1060721345783509 
2024-12-05 10:40:35,990 INFO: Epoch 26, Test Loss: 0.09681889683008194 
2024-12-05 10:40:39,896 INFO: Epoch 27, Train Loss: 0.10492187193066803 
2024-12-05 10:40:40,192 INFO: Epoch 27, Test Loss: 0.09701236218214035 
2024-12-05 10:40:44,219 INFO: Epoch 28, Train Loss: 0.10455492446103047 
2024-12-05 10:40:44,516 INFO: Epoch 28, Test Loss: 0.09832160383462905 
2024-12-05 10:40:48,527 INFO: Epoch 29, Train Loss: 0.10437495906635658 
2024-12-05 10:40:48,821 INFO: Epoch 29, Test Loss: 0.09600176513195038 
2024-12-05 10:40:52,842 INFO: Epoch 30, Train Loss: 0.10388697422656816 
2024-12-05 10:40:53,135 INFO: Epoch 30, Test Loss: 0.09647518455982208 
2024-12-05 10:40:57,149 INFO: Epoch 31, Train Loss: 0.1032861667041926 
2024-12-05 10:40:57,441 INFO: Epoch 31, Test Loss: 0.09628230541944503 
2024-12-05 10:41:01,520 INFO: Epoch 32, Train Loss: 0.10321209295508788 
2024-12-05 10:41:01,816 INFO: Epoch 32, Test Loss: 0.09500117748975753 
2024-12-05 10:41:05,864 INFO: Epoch 33, Train Loss: 0.10270975522466541 
2024-12-05 10:41:06,162 INFO: Epoch 33, Test Loss: 0.09551789194345474 
2024-12-05 10:41:10,205 INFO: Epoch 34, Train Loss: 0.1019509499220504 
2024-12-05 10:41:10,499 INFO: Epoch 34, Test Loss: 0.09471287846565246 
2024-12-05 10:41:14,563 INFO: Epoch 35, Train Loss: 0.10190126584055498 
2024-12-05 10:41:14,856 INFO: Epoch 35, Test Loss: 0.09475760668516159 
2024-12-05 10:41:18,884 INFO: Epoch 36, Train Loss: 0.10187268825535922 
2024-12-05 10:41:19,180 INFO: Epoch 36, Test Loss: 0.09471006482839585 
2024-12-05 10:41:23,246 INFO: Epoch 37, Train Loss: 0.10089131959320344 
2024-12-05 10:41:23,541 INFO: Epoch 37, Test Loss: 0.09417108803987503 
2024-12-05 10:41:27,553 INFO: Epoch 38, Train Loss: 0.10127535462379456 
2024-12-05 10:41:27,846 INFO: Epoch 38, Test Loss: 0.09474327474832535 
2024-12-05 10:41:31,837 INFO: Epoch 39, Train Loss: 0.10033025561841492 
2024-12-05 10:41:32,142 INFO: Epoch 39, Test Loss: 0.0934010797739029 
2024-12-05 10:41:36,134 INFO: Epoch 40, Train Loss: 0.10003526731557452 
2024-12-05 10:41:36,432 INFO: Epoch 40, Test Loss: 0.09329469829797744 
2024-12-05 10:41:40,447 INFO: Epoch 41, Train Loss: 0.09990608576954026 
2024-12-05 10:41:40,743 INFO: Epoch 41, Test Loss: 0.09377318888902664 
2024-12-05 10:41:44,778 INFO: Epoch 42, Train Loss: 0.10002454654457643 
2024-12-05 10:41:45,071 INFO: Epoch 42, Test Loss: 0.09342223495244979 
2024-12-05 10:41:49,111 INFO: Epoch 43, Train Loss: 0.09926627833665032 
2024-12-05 10:41:49,410 INFO: Epoch 43, Test Loss: 0.09471788227558137 
2024-12-05 10:41:53,417 INFO: Epoch 44, Train Loss: 0.09964048916224352 
2024-12-05 10:41:53,706 INFO: Epoch 44, Test Loss: 0.09258968353271485 
2024-12-05 10:41:57,706 INFO: Epoch 45, Train Loss: 0.09849250577774245 
2024-12-05 10:41:58,004 INFO: Epoch 45, Test Loss: 0.09280736118555069 
2024-12-05 10:42:02,011 INFO: Epoch 46, Train Loss: 0.09936061071366378 
2024-12-05 10:42:02,301 INFO: Epoch 46, Test Loss: 0.0927746719121933 
2024-12-05 10:42:06,301 INFO: Epoch 47, Train Loss: 0.09875292638220738 
2024-12-05 10:42:06,601 INFO: Epoch 47, Test Loss: 0.09265422970056533 
2024-12-05 10:42:10,614 INFO: Epoch 48, Train Loss: 0.09827808859114795 
2024-12-05 10:42:10,901 INFO: Epoch 48, Test Loss: 0.09196735322475433 
2024-12-05 10:42:14,960 INFO: Epoch 49, Train Loss: 0.09752915108326785 
2024-12-05 10:42:15,256 INFO: Epoch 49, Test Loss: 0.09163128644227982 
2024-12-05 10:42:19,265 INFO: Epoch 50, Train Loss: 0.09874620350058545 
2024-12-05 10:42:19,556 INFO: Epoch 50, Test Loss: 0.09137462556362153 
2024-12-05 10:42:23,559 INFO: Epoch 51, Train Loss: 0.09740338443788056 
2024-12-05 10:42:23,853 INFO: Epoch 51, Test Loss: 0.09201609700918198 
2024-12-05 10:42:27,876 INFO: Epoch 52, Train Loss: 0.09708281955921773 
2024-12-05 10:42:28,168 INFO: Epoch 52, Test Loss: 0.09292605876922608 
2024-12-05 10:42:32,142 INFO: Epoch 53, Train Loss: 0.0967707235327701 
2024-12-05 10:42:32,434 INFO: Epoch 53, Test Loss: 0.09177488595247268 
2024-12-05 10:42:36,438 INFO: Epoch 54, Train Loss: 0.09670834581262057 
2024-12-05 10:42:36,730 INFO: Epoch 54, Test Loss: 0.09213766783475875 
2024-12-05 10:42:40,747 INFO: Epoch 55, Train Loss: 0.09710792144856502 
2024-12-05 10:42:41,046 INFO: Epoch 55, Test Loss: 0.09133154273033142 
2024-12-05 10:42:45,041 INFO: Epoch 56, Train Loss: 0.09650547333906606 
2024-12-05 10:42:45,336 INFO: Epoch 56, Test Loss: 0.09136468797922134 
