2024-12-05 13:30:04,750 INFO: ------Begin Training Model------ 
2024-12-05 13:30:15,023 INFO: Epoch 1, Train Loss: 0.4406366980912393 
2024-12-05 13:30:15,597 INFO: Epoch 1, Test Loss: 0.4487110694249471 
2024-12-05 13:30:22,369 INFO: Epoch 2, Train Loss: 0.4198474027869994 
2024-12-05 13:30:22,947 INFO: Epoch 2, Test Loss: 0.4185055275758108 
2024-12-05 13:30:29,690 INFO: Epoch 3, Train Loss: 0.34897754615858984 
2024-12-05 13:30:30,266 INFO: Epoch 3, Test Loss: 0.21219679166873295 
2024-12-05 13:30:37,013 INFO: Epoch 4, Train Loss: 0.217143013811948 
2024-12-05 13:30:37,590 INFO: Epoch 4, Test Loss: 0.1839547504981359 
2024-12-05 13:30:44,376 INFO: Epoch 5, Train Loss: 0.1914787171571924 
2024-12-05 13:30:44,953 INFO: Epoch 5, Test Loss: 0.16091450129946072 
2024-12-05 13:30:51,691 INFO: Epoch 6, Train Loss: 0.18338726872676298 
2024-12-05 13:30:52,271 INFO: Epoch 6, Test Loss: 0.1531634395942092 
2024-12-05 13:30:59,009 INFO: Epoch 7, Train Loss: 0.17877436494618132 
2024-12-05 13:30:59,588 INFO: Epoch 7, Test Loss: 0.14962060550848644 
2024-12-05 13:31:06,349 INFO: Epoch 8, Train Loss: 0.17509841592165462 
2024-12-05 13:31:06,927 INFO: Epoch 8, Test Loss: 0.1487574450671673 
2024-12-05 13:31:13,694 INFO: Epoch 9, Train Loss: 0.1699729264436061 
2024-12-05 13:31:14,273 INFO: Epoch 9, Test Loss: 0.14417533273032557 
2024-12-05 13:31:21,031 INFO: Epoch 10, Train Loss: 0.16648016098821372 
2024-12-05 13:31:21,612 INFO: Epoch 10, Test Loss: 0.14170360962549847 
2024-12-05 13:31:28,374 INFO: Epoch 11, Train Loss: 0.1628673975927788 
2024-12-05 13:31:28,952 INFO: Epoch 11, Test Loss: 0.13879404210019858 
2024-12-05 13:31:35,738 INFO: Epoch 12, Train Loss: 0.16276356473303677 
2024-12-05 13:31:36,316 INFO: Epoch 12, Test Loss: 0.1361941457881282 
2024-12-05 13:31:43,118 INFO: Epoch 13, Train Loss: 0.15676739877253248 
2024-12-05 13:31:43,699 INFO: Epoch 13, Test Loss: 0.13660038486123086 
2024-12-05 13:31:50,467 INFO: Epoch 14, Train Loss: 0.155476323868099 
2024-12-05 13:31:51,047 INFO: Epoch 14, Test Loss: 0.1328980588664611 
2024-12-05 13:31:57,803 INFO: Epoch 15, Train Loss: 0.15115663160880408 
2024-12-05 13:31:58,383 INFO: Epoch 15, Test Loss: 0.1302851503714919 
2024-12-05 13:32:05,131 INFO: Epoch 16, Train Loss: 0.15073385115778237 
2024-12-05 13:32:05,709 INFO: Epoch 16, Test Loss: 0.12925914088264107 
2024-12-05 13:32:12,468 INFO: Epoch 17, Train Loss: 0.14789235291250966 
2024-12-05 13:32:13,049 INFO: Epoch 17, Test Loss: 0.1281861689252158 
2024-12-05 13:32:19,814 INFO: Epoch 18, Train Loss: 0.14379028152478368 
2024-12-05 13:32:20,390 INFO: Epoch 18, Test Loss: 0.1261276655209561 
2024-12-05 13:32:27,140 INFO: Epoch 19, Train Loss: 0.14438376614921972 
2024-12-05 13:32:27,722 INFO: Epoch 19, Test Loss: 0.1244437127529333 
2024-12-05 13:32:34,494 INFO: Epoch 20, Train Loss: 0.14033043868186182 
2024-12-05 13:32:35,074 INFO: Epoch 20, Test Loss: 0.12312530887623628 
2024-12-05 13:32:41,822 INFO: Epoch 21, Train Loss: 0.1418590718194058 
2024-12-05 13:32:42,404 INFO: Epoch 21, Test Loss: 0.12309705366690954 
2024-12-05 13:32:49,177 INFO: Epoch 22, Train Loss: 0.13887669028420196 
2024-12-05 13:32:49,757 INFO: Epoch 22, Test Loss: 0.12224887749180198 
2024-12-05 13:32:56,514 INFO: Epoch 23, Train Loss: 0.1364466165633578 
2024-12-05 13:32:57,095 INFO: Epoch 23, Test Loss: 0.12189409099519252 
2024-12-05 13:33:03,877 INFO: Epoch 24, Train Loss: 0.13895262777805328 
2024-12-05 13:33:04,459 INFO: Epoch 24, Test Loss: 0.11953362139562766 
2024-12-05 13:33:11,215 INFO: Epoch 25, Train Loss: 0.13747333042454302 
2024-12-05 13:33:11,795 INFO: Epoch 25, Test Loss: 0.1186049728654325 
2024-12-05 13:33:18,546 INFO: Epoch 26, Train Loss: 0.13241719206174216 
2024-12-05 13:33:19,129 INFO: Epoch 26, Test Loss: 0.12150049936026334 
2024-12-05 13:33:25,901 INFO: Epoch 27, Train Loss: 0.13443972758556666 
2024-12-05 13:33:26,482 INFO: Epoch 27, Test Loss: 0.11604627848913272 
2024-12-05 13:33:33,248 INFO: Epoch 28, Train Loss: 0.13020557975559904 
